period,location,plantStateDescription,plant,plantName,rank,ash-content,heat-content,price,quantity,sulfur-content,coalRankDescription
2018,5,5,469,223,4,1.1773392255920068,0.36515266328441737,1.1731074513341198,-0.2035113029397788,-0.021255558477277395,0
2010,28,28,452,123,1,0.2765845262117728,0.8863294027958886,2.140141168041329,-0.452397443450642,-0.42841852746031034,2
2019,21,21,357,268,4,-0.3033261320175368,1.1766754625877647,0.24642008038052368,-0.9720619237236112,1.046416226856009,0
2014,28,28,7,436,1,-0.3411897145136084,1.0865680647213205,0.33009612843995484,-0.9707779822647578,-0.5188991872343177,2
2013,8,8,74,134,4,-0.20368512544892667,0.8707552846461327,1.1927123658200305,1.1190904651988138,0.5849648620085719,0
2019,8,8,423,486,3,-0.8812439701154742,-1.394722687637989,-0.6740164482732165,3.3950876099299863,-1.0436870139235601,4
2008,17,17,236,23,4,0.7349331564273786,0.5687286362419397,0.7861234871339667,-0.6738255301103063,0.3135228826865498,0
2019,6,6,174,156,4,0.8923659468057824,0.5498172070600934,1.6470349493413547,-0.33113284593135656,-0.13888041618348684,0
2022,29,29,504,72,3,-0.8772583298527299,-1.1655606634344393,-0.930585111762745,0.4362895216341806,-1.1341676736975677,4
2008,4,4,153,365,1,-0.020345673362684443,0.5464798960280028,-0.633954231715051,-0.9900638630639059,0.919743303172399,2
2009,25,25,366,58,4,0.45593833803527073,0.7912160383813085,1.981312947785907,0.43373136923150857,-0.7179566387371338,0
2020,21,21,194,83,1,-0.022338493494056953,0.9558567159644413,-0.6943316857477473,0.5049718754821862,1.7431173071158654,2
2015,18,18,39,8,1,3.319620866817119,-0.34513836804551723,0.13006917484457486,-0.7151748672253113,0.1778018930255387,2
2011,27,27,97,148,1,-0.10802975914306143,1.1171600825154835,-0.7118056312677984,-0.7056350702851071,0.6935416537373807,2
2017,29,29,144,354,4,-0.9171147324801738,-1.1972651182392993,-0.8193485317448599,-0.7755298463064597,-1.152263805652369,0
2009,17,17,364,162,4,0.17295787938041857,0.5225625002980208,-0.03387337092891141,-0.028043844470152953,1.2816659422684284,0
2009,25,25,456,593,4,0.2945199073941229,0.8679741921193906,1.6836876155541445,-0.08098125194020618,-0.12983235020608608,0
2009,17,17,231,412,1,-0.046252335070523176,1.1021421828710762,1.3070743669878435,0.8822672441767014,0.7387819836243843,2
2017,8,8,421,348,4,-0.24752716833911517,1.0404019287774013,0.8675265016298143,-0.7414185528001562,0.4673400043023622,0
2021,21,21,272,188,1,-0.08810155782933915,1.0420705842934466,-0.05901880472605773,-0.16639036113318434,1.3540504700876344,2
2018,21,21,312,418,4,6.54599665950871,-2.809742565244374,-0.31786050177917025,-0.9387713991605005,-0.9532063541495529,0
2013,6,6,430,43,4,-0.2774194703096982,0.6833096483437147,0.9011958112903998,0.14089735756557348,1.4535791958390423,0
2014,28,28,113,517,4,-0.2814051105724425,1.0198218440795097,1.0503636389005908,-0.7495912123779587,0.49448420223456446,0
2012,24,24,1,1,4,0.7070336745881677,0.6732977152474431,-0.34222458028883473,-0.8812630822528086,-0.3741301315959059,0
2008,27,27,425,135,4,0.2725988859490285,0.8479503259268475,1.5869416245041066,0.4407957231468373,-0.5641395171213214,0
2022,9,9,378,544,1,0.021503549396131538,0.3529158561667521,-0.21884147716554805,0.4820604047810388,1.3902427339972367,2
2010,27,27,365,561,1,0.09125225399415841,0.5909773764558766,-0.44046224961497477,0.8784854795083922,1.9150305606864797,2
2017,14,14,314,531,1,-0.5703640296214113,0.042545930182332756,-0.5097613603847376,-0.8741928900284589,-0.35603399964110444,2
2018,23,23,447,341,2,1.3965494400429486,-2.305808599398704,-0.2005151440591532,0.005226732537136286,-0.4465146594151118,3
2008,29,29,126,50,3,-0.9071506318233129,-1.1911467146804666,-1.3035046807882225,-0.5275024237474254,-1.152263805652369,4
